evaluation_id,category,score,model_version,date
111,reasoning,37.07,gpt-4-turbo,2026-01-12
112,reasoning,18.11,gpt-4-turbo,2026-01-12
113,reasoning,51.62,gpt-4,2026-01-12
114,reasoning,60.58,gpt-4,2026-01-12
115,reasoning,39.32,claude-3-opus,2026-01-12
116,knowledge,80.58,gpt-3.5-turbo,2026-01-12
117,knowledge,49.93,gpt-4-turbo,2026-01-12
118,knowledge,72.72,gpt-3.5-turbo,2026-01-12
119,knowledge,51.62,gpt-4,2026-01-12
120,knowledge,84.57,claude-3-opus,2026-01-12
121,knowledge,63.15,gpt-3.5-turbo,2026-01-12
122,knowledge,66.86,gpt-3.5-turbo,2026-01-12
123,code,77.63,claude-3-opus,2026-01-12
124,code,43.86,gpt-3.5-turbo,2026-01-12
125,code,11.81,claude-3-opus,2026-01-12
126,code,17.2,gpt-4-turbo,2026-01-12
127,code,65.58,claude-3-opus,2026-01-12
128,code,33.41,gpt-4-turbo,2026-01-12
129,code,35.31,claude-3-opus,2026-01-12
130,code,59.82,claude-3-opus,2026-01-12
131,code,30.1,gpt-4-turbo,2026-01-12
132,code,31.53,claude-3-opus,2026-01-12
133,code,35.39,gpt-4,2026-01-12
134,code,35.79,claude-3-opus,2026-01-12
135,instruction_following,77.29,gpt-3.5-turbo,2026-01-12
136,instruction_following,46.33,claude-3-opus,2026-01-12
137,instruction_following,75.1,gpt-4-turbo,2026-01-12
138,instruction_following,61.61,gpt-3.5-turbo,2026-01-12
139,instruction_following,67.77,gpt-4,2026-01-12
140,instruction_following,37.7,gpt-4,2026-01-12
141,instruction_following,75.17,claude-3-opus,2026-01-12
142,instruction_following,74.39,claude-3-opus,2026-01-12
143,instruction_following,88.66,gpt-4-turbo,2026-01-12
144,instruction_following,84.66,gpt-4-turbo,2026-01-12
145,instruction_following,100.0,gpt-4,2026-01-12
146,tool_calling,36.42,gpt-4-turbo,2026-01-12
147,tool_calling,78.32,gpt-3.5-turbo,2026-01-12
148,tool_calling,85.57,gpt-4,2026-01-12
149,tool_calling,67.75,gpt-4,2026-01-12
150,tool_calling,23.4,gpt-3.5-turbo,2026-01-12
151,reasoning,69.26,gpt-4-turbo,2026-01-13
152,reasoning,42.71,gpt-4,2026-01-13
153,reasoning,45.81,gpt-3.5-turbo,2026-01-13
154,reasoning,6.06,gpt-4-turbo,2026-01-13
155,reasoning,19.97,gpt-4-turbo,2026-01-13
156,knowledge,39.97,gpt-4-turbo,2026-01-13
157,knowledge,59.43,gpt-4,2026-01-13
158,knowledge,69.18,gpt-4,2026-01-13
159,knowledge,55.23,gpt-4-turbo,2026-01-13
160,knowledge,50.39,gpt-4,2026-01-13
161,knowledge,60.25,claude-3-opus,2026-01-13
162,knowledge,100.0,gpt-3.5-turbo,2026-01-13
163,knowledge,99.88,gpt-3.5-turbo,2026-01-13
164,knowledge,95.57,gpt-4-turbo,2026-01-13
165,knowledge,69.87,claude-3-opus,2026-01-13
166,knowledge,36.75,gpt-4,2026-01-13
167,knowledge,37.99,gpt-4,2026-01-13
168,code,33.31,gpt-4-turbo,2026-01-13
169,code,27.46,claude-3-opus,2026-01-13
170,code,42.15,gpt-3.5-turbo,2026-01-13
171,code,40.4,gpt-4-turbo,2026-01-13
172,code,65.91,gpt-4,2026-01-13
173,code,78.81,gpt-4-turbo,2026-01-13
174,code,48.42,gpt-4,2026-01-13
175,code,40.98,gpt-3.5-turbo,2026-01-13
176,instruction_following,61.19,claude-3-opus,2026-01-13
177,instruction_following,85.58,gpt-4,2026-01-13
178,instruction_following,70.75,gpt-4,2026-01-13
179,instruction_following,81.35,gpt-4,2026-01-13
180,instruction_following,79.37,gpt-4-turbo,2026-01-13
181,instruction_following,48.42,gpt-4,2026-01-13
182,instruction_following,78.67,gpt-3.5-turbo,2026-01-13
183,instruction_following,87.62,gpt-3.5-turbo,2026-01-13
184,instruction_following,76.57,gpt-4,2026-01-13
185,tool_calling,22.37,gpt-4,2026-01-13
186,tool_calling,63.85,gpt-3.5-turbo,2026-01-13
187,tool_calling,70.96,gpt-4,2026-01-13
188,tool_calling,63.41,gpt-4,2026-01-13
189,tool_calling,52.73,gpt-4,2026-01-13
190,tool_calling,61.28,claude-3-opus,2026-01-13
191,tool_calling,51.55,gpt-4-turbo,2026-01-13
192,tool_calling,27.01,claude-3-opus,2026-01-13
193,reasoning,61.12,claude-3-opus,2026-01-14
194,reasoning,39.75,claude-3-opus,2026-01-14
195,reasoning,44.74,gpt-3.5-turbo,2026-01-14
196,reasoning,37.38,gpt-4-turbo,2026-01-14
197,reasoning,15.51,gpt-3.5-turbo,2026-01-14
198,reasoning,47.5,claude-3-opus,2026-01-14
199,reasoning,14.71,gpt-4-turbo,2026-01-14
200,reasoning,51.33,gpt-3.5-turbo,2026-01-14
201,reasoning,53.13,gpt-3.5-turbo,2026-01-14
202,reasoning,41.71,gpt-4-turbo,2026-01-14
203,knowledge,54.2,gpt-4-turbo,2026-01-14
204,knowledge,80.2,claude-3-opus,2026-01-14
205,knowledge,49.14,gpt-4-turbo,2026-01-14
206,knowledge,86.93,claude-3-opus,2026-01-14
207,knowledge,25.33,gpt-4-turbo,2026-01-14
208,knowledge,11.41,claude-3-opus,2026-01-14
209,knowledge,76.46,gpt-3.5-turbo,2026-01-14
210,knowledge,51.01,gpt-4,2026-01-14
211,knowledge,72.73,gpt-4-turbo,2026-01-14
212,knowledge,43.68,gpt-4-turbo,2026-01-14
213,code,37.11,gpt-4,2026-01-14
214,code,10.9,claude-3-opus,2026-01-14
215,code,47.52,claude-3-opus,2026-01-14
216,code,63.74,claude-3-opus,2026-01-14
217,code,13.07,gpt-3.5-turbo,2026-01-14
218,code,31.62,claude-3-opus,2026-01-14
219,code,47.81,gpt-4,2026-01-14
220,code,77.8,gpt-4-turbo,2026-01-14
221,code,72.72,gpt-3.5-turbo,2026-01-14
222,code,29.13,gpt-4,2026-01-14
223,code,31.84,gpt-3.5-turbo,2026-01-14
224,code,53.34,gpt-4-turbo,2026-01-14
225,code,66.03,gpt-4-turbo,2026-01-14
226,code,13.51,gpt-4-turbo,2026-01-14
227,code,61.7,gpt-3.5-turbo,2026-01-14
228,instruction_following,68.14,gpt-3.5-turbo,2026-01-14
229,instruction_following,50.91,gpt-4-turbo,2026-01-14
230,instruction_following,33.13,gpt-3.5-turbo,2026-01-14
231,instruction_following,54.8,gpt-4-turbo,2026-01-14
232,instruction_following,77.81,gpt-4,2026-01-14
233,instruction_following,92.96,gpt-4,2026-01-14
234,instruction_following,64.1,gpt-4-turbo,2026-01-14
235,instruction_following,83.59,gpt-4-turbo,2026-01-14
236,instruction_following,49.8,gpt-4,2026-01-14
237,instruction_following,91.95,claude-3-opus,2026-01-14
238,tool_calling,54.92,gpt-4,2026-01-14
239,tool_calling,69.93,gpt-4-turbo,2026-01-14
240,tool_calling,71.04,gpt-3.5-turbo,2026-01-14
241,tool_calling,49.79,gpt-4-turbo,2026-01-14
242,tool_calling,50.38,gpt-4-turbo,2026-01-14
243,tool_calling,45.04,gpt-3.5-turbo,2026-01-14
244,tool_calling,29.26,gpt-3.5-turbo,2026-01-14
245,tool_calling,44.33,gpt-4,2026-01-14
246,tool_calling,64.2,gpt-3.5-turbo,2026-01-14
247,tool_calling,73.31,claude-3-opus,2026-01-14
248,tool_calling,48.91,claude-3-opus,2026-01-14
249,reasoning,20.33,claude-3-opus,2026-01-15
250,reasoning,45.63,gpt-4-turbo,2026-01-15
251,reasoning,21.72,gpt-3.5-turbo,2026-01-15
252,reasoning,27.46,claude-3-opus,2026-01-15
253,reasoning,0.0,gpt-3.5-turbo,2026-01-15
254,knowledge,64.95,claude-3-opus,2026-01-15
255,knowledge,60.83,claude-3-opus,2026-01-15
256,knowledge,81.96,gpt-4-turbo,2026-01-15
257,knowledge,12.2,gpt-3.5-turbo,2026-01-15
258,knowledge,38.59,gpt-3.5-turbo,2026-01-15
259,knowledge,52.65,gpt-4-turbo,2026-01-15
260,knowledge,75.96,gpt-4-turbo,2026-01-15
261,knowledge,33.32,gpt-4-turbo,2026-01-15
262,knowledge,73.3,gpt-4,2026-01-15
263,knowledge,56.1,claude-3-opus,2026-01-15
264,knowledge,73.46,claude-3-opus,2026-01-15
265,code,70.53,gpt-3.5-turbo,2026-01-15
266,code,48.92,gpt-4-turbo,2026-01-15
267,code,65.2,claude-3-opus,2026-01-15
268,code,76.57,claude-3-opus,2026-01-15
269,code,68.59,gpt-3.5-turbo,2026-01-15
270,code,56.57,gpt-4,2026-01-15
271,code,69.58,gpt-4-turbo,2026-01-15
272,code,47.45,gpt-4,2026-01-15
273,code,31.17,gpt-3.5-turbo,2026-01-15
274,code,17.21,gpt-4,2026-01-15
275,code,57.27,gpt-4,2026-01-15
276,instruction_following,77.49,gpt-3.5-turbo,2026-01-15
277,instruction_following,84.14,gpt-4,2026-01-15
278,instruction_following,72.43,claude-3-opus,2026-01-15
279,instruction_following,83.52,gpt-3.5-turbo,2026-01-15
280,instruction_following,81.22,gpt-4,2026-01-15
281,instruction_following,87.58,gpt-4,2026-01-15
282,instruction_following,55.84,gpt-4-turbo,2026-01-15
283,instruction_following,57.81,claude-3-opus,2026-01-15
284,instruction_following,88.16,gpt-3.5-turbo,2026-01-15
285,instruction_following,93.49,gpt-4-turbo,2026-01-15
286,instruction_following,57.35,gpt-4-turbo,2026-01-15
287,instruction_following,93.55,gpt-3.5-turbo,2026-01-15
288,tool_calling,51.33,claude-3-opus,2026-01-15
289,tool_calling,34.69,gpt-3.5-turbo,2026-01-15
290,tool_calling,41.75,gpt-3.5-turbo,2026-01-15
291,tool_calling,36.66,gpt-3.5-turbo,2026-01-15
292,tool_calling,59.59,gpt-3.5-turbo,2026-01-15
293,tool_calling,71.66,gpt-3.5-turbo,2026-01-15
294,tool_calling,80.86,gpt-4,2026-01-15
295,tool_calling,40.29,gpt-3.5-turbo,2026-01-15
296,tool_calling,50.08,gpt-4-turbo,2026-01-15
297,tool_calling,52.23,gpt-4,2026-01-15
298,tool_calling,71.11,gpt-3.5-turbo,2026-01-15
299,tool_calling,79.03,gpt-4-turbo,2026-01-15
300,tool_calling,40.9,claude-3-opus,2026-01-15
301,tool_calling,50.83,gpt-3.5-turbo,2026-01-15
302,tool_calling,42.78,claude-3-opus,2026-01-15
303,reasoning,18.6,gpt-3.5-turbo,2026-01-16
304,reasoning,52.57,gpt-4,2026-01-16
305,reasoning,59.51,gpt-4-turbo,2026-01-16
306,reasoning,52.62,gpt-4-turbo,2026-01-16
307,reasoning,31.87,claude-3-opus,2026-01-16
308,reasoning,45.08,gpt-4,2026-01-16
309,reasoning,9.8,gpt-4-turbo,2026-01-16
310,reasoning,36.86,gpt-4,2026-01-16
311,reasoning,84.28,gpt-4,2026-01-16
312,reasoning,30.8,gpt-4-turbo,2026-01-16
313,knowledge,57.03,claude-3-opus,2026-01-16
314,knowledge,82.23,gpt-3.5-turbo,2026-01-16
315,knowledge,94.61,gpt-4,2026-01-16
316,knowledge,82.75,gpt-4-turbo,2026-01-16
317,knowledge,42.0,gpt-4,2026-01-16
318,knowledge,90.69,gpt-4,2026-01-16
319,knowledge,75.55,gpt-4-turbo,2026-01-16
320,knowledge,45.71,gpt-4,2026-01-16
321,knowledge,84.99,claude-3-opus,2026-01-16
322,knowledge,61.59,claude-3-opus,2026-01-16
323,knowledge,41.69,claude-3-opus,2026-01-16
324,knowledge,91.13,gpt-3.5-turbo,2026-01-16
325,code,52.31,gpt-4,2026-01-16
326,code,40.59,claude-3-opus,2026-01-16
327,code,46.36,gpt-3.5-turbo,2026-01-16
328,code,48.47,claude-3-opus,2026-01-16
329,code,48.69,gpt-4,2026-01-16
330,code,56.88,gpt-3.5-turbo,2026-01-16
331,code,54.52,gpt-3.5-turbo,2026-01-16
332,code,88.28,gpt-3.5-turbo,2026-01-16
333,instruction_following,59.81,gpt-3.5-turbo,2026-01-16
334,instruction_following,69.63,gpt-3.5-turbo,2026-01-16
335,instruction_following,94.53,gpt-4,2026-01-16
336,instruction_following,97.71,gpt-4,2026-01-16
337,instruction_following,59.37,claude-3-opus,2026-01-16
338,instruction_following,46.98,gpt-3.5-turbo,2026-01-16
339,instruction_following,90.47,claude-3-opus,2026-01-16
340,instruction_following,73.55,gpt-3.5-turbo,2026-01-16
341,instruction_following,67.07,claude-3-opus,2026-01-16
342,instruction_following,78.94,claude-3-opus,2026-01-16
343,tool_calling,52.68,gpt-4-turbo,2026-01-16
344,tool_calling,66.18,claude-3-opus,2026-01-16
345,tool_calling,56.05,claude-3-opus,2026-01-16
346,tool_calling,24.75,gpt-3.5-turbo,2026-01-16
347,tool_calling,47.35,claude-3-opus,2026-01-16
348,tool_calling,25.32,gpt-4-turbo,2026-01-16
349,tool_calling,36.48,gpt-4,2026-01-16
350,reasoning,94.3,claude-3-opus,2026-01-17
351,reasoning,26.53,claude-3-opus,2026-01-17
352,reasoning,49.41,gpt-3.5-turbo,2026-01-17
353,reasoning,71.14,gpt-4,2026-01-17
354,reasoning,43.8,gpt-4-turbo,2026-01-17
355,reasoning,0.0,claude-3-opus,2026-01-17
356,reasoning,14.85,claude-3-opus,2026-01-17
357,reasoning,32.41,gpt-4-turbo,2026-01-17
358,reasoning,38.19,gpt-4-turbo,2026-01-17
359,reasoning,24.84,gpt-4,2026-01-17
360,reasoning,41.32,gpt-3.5-turbo,2026-01-17
361,reasoning,15.0,claude-3-opus,2026-01-17
362,knowledge,67.81,gpt-4-turbo,2026-01-17
363,knowledge,76.27,gpt-4-turbo,2026-01-17
364,knowledge,84.19,gpt-4,2026-01-17
365,knowledge,57.23,gpt-3.5-turbo,2026-01-17
366,knowledge,65.67,gpt-4,2026-01-17
367,knowledge,80.23,gpt-4-turbo,2026-01-17
368,knowledge,89.6,gpt-3.5-turbo,2026-01-17
369,knowledge,94.77,gpt-4,2026-01-17
370,knowledge,75.46,claude-3-opus,2026-01-17
371,knowledge,83.27,claude-3-opus,2026-01-17
372,knowledge,42.6,gpt-3.5-turbo,2026-01-17
373,code,36.38,claude-3-opus,2026-01-17
374,code,93.37,claude-3-opus,2026-01-17
375,code,51.21,gpt-3.5-turbo,2026-01-17
376,code,79.8,claude-3-opus,2026-01-17
377,code,40.46,gpt-4-turbo,2026-01-17
378,instruction_following,84.59,gpt-3.5-turbo,2026-01-17
379,instruction_following,53.11,gpt-4,2026-01-17
380,instruction_following,85.28,gpt-4,2026-01-17
381,instruction_following,70.72,claude-3-opus,2026-01-17
382,instruction_following,78.29,gpt-3.5-turbo,2026-01-17
383,instruction_following,49.84,gpt-4-turbo,2026-01-17
384,instruction_following,75.97,gpt-4,2026-01-17
385,instruction_following,54.95,gpt-4,2026-01-17
386,instruction_following,26.39,claude-3-opus,2026-01-17
387,instruction_following,63.4,claude-3-opus,2026-01-17
388,tool_calling,54.13,claude-3-opus,2026-01-17
389,tool_calling,42.66,claude-3-opus,2026-01-17
390,tool_calling,44.91,gpt-3.5-turbo,2026-01-17
391,tool_calling,47.7,gpt-4,2026-01-17
392,tool_calling,78.91,claude-3-opus,2026-01-17
393,tool_calling,44.24,gpt-3.5-turbo,2026-01-17
394,tool_calling,24.04,gpt-3.5-turbo,2026-01-17
395,tool_calling,33.73,claude-3-opus,2026-01-17
396,tool_calling,57.5,gpt-3.5-turbo,2026-01-17
397,tool_calling,68.29,gpt-3.5-turbo,2026-01-17
398,tool_calling,32.96,gpt-4-turbo,2026-01-17
399,tool_calling,31.75,claude-3-opus,2026-01-17
400,reasoning,38.14,gpt-4,2026-01-18
401,reasoning,30.56,gpt-4-turbo,2026-01-18
402,reasoning,31.11,claude-3-opus,2026-01-18
403,reasoning,18.66,gpt-4,2026-01-18
404,reasoning,28.41,gpt-3.5-turbo,2026-01-18
405,reasoning,35.77,gpt-4-turbo,2026-01-18
406,reasoning,8.02,gpt-4-turbo,2026-01-18
407,reasoning,58.81,gpt-4-turbo,2026-01-18
408,reasoning,36.96,gpt-4,2026-01-18
409,reasoning,33.83,gpt-4-turbo,2026-01-18
410,reasoning,50.88,claude-3-opus,2026-01-18
411,reasoning,54.35,gpt-3.5-turbo,2026-01-18
412,knowledge,72.32,gpt-4,2026-01-18
413,knowledge,60.48,gpt-3.5-turbo,2026-01-18
414,knowledge,65.77,gpt-4,2026-01-18
415,knowledge,35.86,gpt-3.5-turbo,2026-01-18
416,knowledge,85.05,claude-3-opus,2026-01-18
417,knowledge,66.19,gpt-4,2026-01-18
418,knowledge,35.38,claude-3-opus,2026-01-18
419,code,61.14,gpt-4-turbo,2026-01-18
420,code,40.75,gpt-4,2026-01-18
421,code,12.55,gpt-3.5-turbo,2026-01-18
422,code,46.04,gpt-4,2026-01-18
423,code,62.24,claude-3-opus,2026-01-18
424,instruction_following,85.04,gpt-4-turbo,2026-01-18
425,instruction_following,77.56,gpt-4,2026-01-18
426,instruction_following,78.29,gpt-4,2026-01-18
427,instruction_following,77.45,claude-3-opus,2026-01-18
428,instruction_following,82.28,gpt-3.5-turbo,2026-01-18
429,instruction_following,76.55,claude-3-opus,2026-01-18
430,instruction_following,83.93,gpt-4-turbo,2026-01-18
431,instruction_following,72.14,gpt-3.5-turbo,2026-01-18
432,instruction_following,59.41,gpt-4,2026-01-18
433,instruction_following,35.83,gpt-4-turbo,2026-01-18
434,instruction_following,54.91,gpt-4-turbo,2026-01-18
435,instruction_following,78.37,gpt-4,2026-01-18
436,instruction_following,86.82,gpt-4-turbo,2026-01-18
437,tool_calling,70.5,gpt-4,2026-01-18
438,tool_calling,27.25,gpt-4-turbo,2026-01-18
439,tool_calling,28.68,gpt-4-turbo,2026-01-18
440,tool_calling,44.53,gpt-3.5-turbo,2026-01-18
441,tool_calling,17.06,gpt-3.5-turbo,2026-01-18
442,tool_calling,47.84,claude-3-opus,2026-01-18
443,tool_calling,10.85,gpt-3.5-turbo,2026-01-18
444,tool_calling,32.87,gpt-4,2026-01-18
445,tool_calling,23.54,gpt-4-turbo,2026-01-18
446,tool_calling,22.2,claude-3-opus,2026-01-18
447,tool_calling,27.35,claude-3-opus,2026-01-18
448,tool_calling,43.0,gpt-4-turbo,2026-01-18
449,tool_calling,52.46,gpt-4-turbo,2026-01-18
450,tool_calling,46.32,gpt-4,2026-01-18
451,tool_calling,71.37,gpt-4-turbo,2026-01-18
452,reasoning,49.4,claude-3-opus,2026-01-19
453,reasoning,87.07,gpt-4,2026-01-19
454,reasoning,33.9,gpt-4,2026-01-19
455,reasoning,49.71,gpt-3.5-turbo,2026-01-19
456,reasoning,13.01,gpt-4-turbo,2026-01-19
457,reasoning,48.32,gpt-4-turbo,2026-01-19
458,reasoning,33.75,gpt-4-turbo,2026-01-19
459,reasoning,11.07,gpt-4-turbo,2026-01-19
460,reasoning,42.82,gpt-3.5-turbo,2026-01-19
461,reasoning,17.23,gpt-4,2026-01-19
462,reasoning,52.55,gpt-4-turbo,2026-01-19
463,reasoning,39.92,gpt-4,2026-01-19
464,knowledge,80.38,claude-3-opus,2026-01-19
465,knowledge,58.9,claude-3-opus,2026-01-19
466,knowledge,70.62,gpt-4-turbo,2026-01-19
467,knowledge,71.91,gpt-4,2026-01-19
468,knowledge,42.98,gpt-4,2026-01-19
469,knowledge,61.23,claude-3-opus,2026-01-19
470,knowledge,39.0,claude-3-opus,2026-01-19
471,knowledge,80.41,gpt-4-turbo,2026-01-19
472,knowledge,70.98,gpt-4-turbo,2026-01-19
473,knowledge,77.0,gpt-3.5-turbo,2026-01-19
474,knowledge,38.41,gpt-4-turbo,2026-01-19
475,code,52.87,gpt-4,2026-01-19
476,code,63.67,claude-3-opus,2026-01-19
477,code,38.92,gpt-3.5-turbo,2026-01-19
478,code,37.68,gpt-4-turbo,2026-01-19
479,code,14.6,claude-3-opus,2026-01-19
480,code,61.31,gpt-4-turbo,2026-01-19
481,code,25.03,gpt-4,2026-01-19
482,code,30.22,gpt-4-turbo,2026-01-19
483,code,29.85,gpt-3.5-turbo,2026-01-19
484,code,31.58,gpt-4,2026-01-19
485,code,34.26,gpt-4-turbo,2026-01-19
486,code,46.02,gpt-4,2026-01-19
487,code,59.46,gpt-4-turbo,2026-01-19
488,instruction_following,93.98,claude-3-opus,2026-01-19
489,instruction_following,86.1,gpt-4,2026-01-19
490,instruction_following,81.57,claude-3-opus,2026-01-19
491,instruction_following,100.0,gpt-4,2026-01-19
492,instruction_following,71.37,gpt-3.5-turbo,2026-01-19
493,instruction_following,25.24,claude-3-opus,2026-01-19
494,instruction_following,89.35,gpt-3.5-turbo,2026-01-19
495,tool_calling,70.22,gpt-4,2026-01-19
496,tool_calling,60.36,gpt-4,2026-01-19
497,tool_calling,52.14,gpt-4,2026-01-19
498,tool_calling,77.04,claude-3-opus,2026-01-19
499,tool_calling,93.08,claude-3-opus,2026-01-19
500,tool_calling,86.82,gpt-4,2026-01-19
501,tool_calling,69.12,gpt-4,2026-01-19
502,tool_calling,49.48,gpt-4,2026-01-19
503,tool_calling,40.02,gpt-4-turbo,2026-01-19
504,reasoning,14.84,gpt-4-turbo,2026-01-20
505,reasoning,41.12,gpt-4-turbo,2026-01-20
506,reasoning,9.37,gpt-4-turbo,2026-01-20
507,reasoning,27.57,gpt-4,2026-01-20
508,reasoning,44.92,gpt-4,2026-01-20
509,reasoning,33.39,gpt-4-turbo,2026-01-20
510,reasoning,12.88,gpt-3.5-turbo,2026-01-20
511,reasoning,23.23,gpt-4-turbo,2026-01-20
512,reasoning,59.98,gpt-3.5-turbo,2026-01-20
513,reasoning,23.41,gpt-4,2026-01-20
514,reasoning,58.13,gpt-4,2026-01-20
515,reasoning,56.48,gpt-4-turbo,2026-01-20
516,reasoning,46.91,gpt-3.5-turbo,2026-01-20
517,reasoning,68.66,claude-3-opus,2026-01-20
518,reasoning,65.49,claude-3-opus,2026-01-20
519,knowledge,25.77,gpt-4,2026-01-20
520,knowledge,80.32,claude-3-opus,2026-01-20
521,knowledge,31.11,gpt-3.5-turbo,2026-01-20
